"year","Canada","Foreign","total"
1968,11118,9720,20838
1969,13257,5379,18636
1970,15710,5296,21006
1971,14942,9554,24496
1972,16253,6107,22360
1973,21566,16984,38550
1974,16701,27954,44655
1975,13540,22718,36258
1976,15746,17319,33065
1977,19852,2913,22765
1978,25429,470,25899
1979,30244,368,30612
1980,22135,161,22296
1981,19294,61,19355
1982,16380,3,16383
1983,19797,9,19806
1984,17320,913,18233
1985,29855,1051,30906
1986,30325,772,31097
1987,27488,71,27559
1988,24060,956,25016
1989,20795,347,21142
1990,19190,3857,23047
1991,24914,597,25511
1992,24307,2255,26562
1993,26158,690,26848
1994,20564,49,20613
1995,9175.805,62,9237.805
1996,13896.719,76,13972.719
1997,15639.422,116,15755.422
1998,18301.525,10,18311.525
1999,16018.379,12,16030.379
2000,15645.605,26,15671.605
2001,22590.79,11,22601.79
2002,32593.587,7,32600.587
2003,43189.747,9,43198.747
2004,53534.28,14,53548.28
2005,55811.175,0,55811.175
2006,53544.229,3,53547.229
2007,52713.816,0,52713.816
2008,29528.255,4,29532.255
2009,42048.563,0,42048.563
2010,38488.48,0,38488.48
2011,11373.043,0,11373.043
2012,6742.327,0,6742.327
2013,8576.634,0,8576.634
2014,6544.732,0,6544.732
2015,4135.233,1,4136.233
2016,7899.195,0,7899.195
2017,9628.977,3,9631.977
2018,10891.143,0,10891.143
2019,8644.619,0,8644.619
2020,7829.899,0,7829.899
2021,4407.873,0,4407.873
2022,76.104,0,76.104
2023,65.244,0,65.244
2024,549.320799569161,0,549.320799569161
2025,414.05664,0,414.05664
