"year","Beach and bar or Tuck seine","Bottom Otter Trawl","Danish, Scottish or Pair seine","Driftnet","Gillnet","Handline","Jigger","Lobster Pound","Longline","Midwater trawl","Miscellaneous","Mobile gear","Pair seine","Purse seine","Scottish seine","Shrimp beam trawl","Trap","Unspecified","Weir","NA"
1999,0,23.928,1312.822,297.379,4831.235,5435.411,569.462,4056.957,3.137,0,0,0,0,0,0,0,0,0,7.664,0
2000,4.514,1.267,3905.299,185.409,5101.388,2230.121,90.041,4220.288,3.917,0,26,0,0,0,0,0,0,0,0,310.848
2001,231.096,6.27,8097.067,10.167,6547.057,5676.136,160.162,3236.917,20.216,0,0,0,0,0,0,0,0,8,46.057,308.08
2002,343.838,4.53,16844.902,0,4957.868,9838.777,129.216,2087.943,18.775,0,0,0,0,0,0,0,0,7,47.714,326.044
2003,22.123,3.14,26076.535,209.648,4332.068,9842.039,8.867,3664.973,15.834,0,0,0,0,0,0,0,0,6,74.26,216.772
2004,2087.848,1.863,36942.234,188.369,4523.697,4124.886,993.117,4630.434,3.801,14,1.814,0,0,0,0,0,0,0,1.78,361.582
2005,7224.83,1.435,33518.044,122.474,3780.238,5313.354,1115.466,3414.929,60.815,0,0.441,0,0,0,0,0,0,0,20.305,191.439
2006,7564.191,6.649,34979.73,0.494,4484.438,3297.141,741.965,2334.318,47.774,13.859,7.175,0,0,0,0,0,25.658,3,0,0
2007,7441.49,6.683,35492.544,2.096,3613.217,2740.29,337.485,2906.717,15.134,0,0,0,0,0,0,0,16.437,0,0,651.384
2008,1863.513,0.363,20691.434,0,2471.382,2363.21,331.326,1151.332,8.588,0,4.145,0,0,0,0,0,37.38,4,1.68,549.442
2009,3699.827,0.587,29551.576,26.64,3436.302,2857.202,729.107,1673.881,2.872,0,2.601,0,0,0,0,0,67.624,0,0,156.527
2010,4524.458,0.712,27666.709,2.536,2726.877,1868.019,545.777,1128.12,0,0,0,0.908,0,0,0,0,21.191,0,0,160.683
2011,1175.538,1.194,5692.815,21.549,1684.493,1593.207,520.754,651.956,5.457,0,0,0,0,0,0,0,26.075,0,0,111.56
2012,283.443,2.501,2374.554,0,948.89,1753.876,540.944,679.169,5.975,0,0,0,0,0,0,0,125.904,0,24.74,101.371
2013,266.061,5.235,4999.505,0,621.327,1591.5,604.926,471.164,0.321,0,1.304,0,0,0,0,0,15.104,0,0,97.33
2014,321.451,6.242,3021.67,0,505.871,1305.796,762.642,596.019,0.001,0,0,0.998,0,0,0,4.258,18.323,0,0,134.915
2015,370.272,2.094,658.974,0,644.051,1368.18,649.026,441.945,0,0,0,0,0,0,0,0.238,0.009,1,0,137.103
2016,634.756,4.32,3894.957,2.333,926.333,1458.117,228.759,553.991,0.161,0,4.969,0,0,0,0,0.498,0.907,0,28.86,306.498
2017,491.998,6.321,2314.995,7.566,3947.648,1494.142,279.403,954.992,0.05,0,3.07,0.497,0,0,0,0,17.137,3,12.8,219.04
2018,468.352,6.481,5160.088,12.314,2583.18,997.677,262.642,1051.744,0,0,0.015,0,0,0,0,0,268.27,0,6.75,172.876
2019,793.034,5.982,3949.022,1.061,2435.97,376.837,149.946,565.653,0,0.055,0,0,0,0,0,0,359.175,0,0,108.865
2020,723.965,7.965,3316.179,4.074,2119.985,282.732,135.45,944.435,4.755,0,1.81,0.597,0,0,0,19.084,233.03,0,0,146.045
2021,116.693,4.303,651.374,30.788,1975.129,306.392,120.309,160.583,9.412,0,0.85,5.327,0,0,0,233.534,624.358,0,0.907,268.847
2022,0,3.694,0,0.055,14.417,0,0,0,0.68,0,0.02,7.214,0,0,0,0,0,0,29.7,85.125
